recorded_at,Installation_Date,Measurement_Time,Fiber_Utilization,Latency_ms,Packet_Loss_Percent,Uptime_Performance,Fiber_Type,Cable_Length_km,Used_Fiber_Strands,Unused_Fiber_Strands,Connector_Type,Patch_Panel_Type,Optical_Power_dBm,Optical_Loss_dB,Attenuation_Rate,Bit_Error_Rate,Jitter_ms,Data_Rate_Unit,Data_Transmission_Rate,Error_Logs,Recent_Fiber_Breaks,Avg_Downtime_per_Fault_min,Signal_Degradation_Rate_Percent,Historical_Maintenance_Frequency,Fiber_Cut_Detection,Bending_Losses,Interference,Weather_Conditions,Fiber_Location,Nearby_Construction,Distance_from_Network_Node_km,Power_Supply_Stability,ONT_OLT_Signal_Strength,Router_Modem_Logs,Battery_Backup,Voltage_Stability,Device_Overheating,Alarms,Users_Affected,Customer_Complaints,SLA_Priority,Service_Type,Customer_Downtime_Tolerance,Truck_Roll_Requirement,Truck_Roll_Decision,Time_Range,Geographic_Region,Network_Node_Type,Issue_Type,Technician_Skill_Level,Customer_SLA_Priority,Customer_Satisfaction_Score,Complaint_Resolution_Time,Bandwidth_Gbps,Noise_dB,Customer_Churn_Rate,Maintenance_Type,Self_Service_Resolution,Technical_Efficiency,Ticket_Closure_Rate,First_Fix_Rate
2023-03-01 00:00:00,2023-03-01,00:00:00,70.0,30.0,1.0,98.0,Underground,33.29,24,0,ST,Patch_C,-3.01,0.17,0.47,0.00035230300207440563,1.62,Mbps,141.67,Connection lost,5,112.73,4.42,0,Yes,Yes,Other,Temperature,Underground,Yes,40.82,Fluctuating,-18.4,Error,No,Unstable,No,Network error alarm,16,50,Low,IPTV,Low,required,Required,Custom Date Range,"Chicago, IL, 60601, Zone C, (41.8781,-87.6298)",Customer Premises,Equipment Failure,ONT/OLT Specialist,Government,6,198.82,5.18,0.28,6.29,Planned,91.61,77.74,7.2,72.48
2023-03-01 01:00:00,2023-03-01,01:00:00,70.99342830602247,30.052182100421668,0.7163268534133936,98.20150273796739,Aerial,27.87,24,4,LC,Patch_B,-6.54,0.89,0.32,0.00029894842913205227,4.27,Mbps,32.14,No errors,0,93.87,6.29,3,Yes,Yes,Other,Temperature,Aerial,No,35.45,Fluctuating,-5.91,Error,No,Stable,Yes,Voltage fluctuation alarm,68,22,Medium,Broadband,Low,not required,Not Required,Last Month,"Phoenix, AZ, 85001, Zone E, (33.4484,-112.0740)",Aggregation,Signal Degradation,ONT/OLT Specialist,Government,3,47.49,6.83,2.37,0.5,Unplanned,57.53,50.12,97.22,66.06
2023-03-01 02:00:00,2023-03-01,02:00:00,70.7168997036801,31.087500141359914,0.36416509101723843,98.06457677281539,Multi-mode,17.2,24,8,SC,Patch_C,-24.14,4.93,0.42,0.0005598252290580012,0.78,Gbps,7.35,Error code 404,5,110.63,1.47,3,No,No,Other,Temperature,Aerial,No,41.45,Unstable,-18.4,OK,Yes,Unstable,No,High temperature alarm,93,5,Low,Broadband,Medium,not required,Not Required,Last Month,"Los Angeles, CA, 90001, Zone B, (34.0522,-118.2437)",Aggregation,Fiber Break,ONT/OLT Specialist,Residential,1,189.45,6.48,1.04,2.9,Planned,13.5,78.32,6.0,19.17
2023-03-01 03:00:00,2023-03-01,03:00:00,72.01227677988149,29.636012515052983,0.05903382810321944,98.22270189264793,Single-mode,6.82,48,16,SC,Patch_A,-27.4,0.47,0.23,8.366651618484198e-06,5.16,Mbps,271.04,No errors,4,37.43,9.7,9,Yes,No,Other,Rain,Underground,No,14.35,Unstable,-23.86,Timeout,No,Unstable,No,High temperature alarm,44,35,High,VoIP,Low,not required,Not Required,Custom Date Range,"Houston, TX, 77001, Zone D, (29.7604,-95.3698)",Core,Fiber Break,ONT/OLT Specialist,Government,9,165.26,1.63,0.46,8.51,Unplanned,54.75,31.69,85.67,38.88
2023-03-01 04:00:00,2023-03-01,04:00:00,75.05833649269753,30.009546044007138,0.31155064878865585,97.82868112910556,Single-mode,4.81,96,0,SC,Patch_C,-11.84,3.43,0.27,8.266795531950432e-05,4.6,Gbps,7.82,Minor error detected,5,30.48,7.3,7,Yes,No,Other,Storm,Underground,No,9.34,Stable,-28.05,Error,Yes,Fluctuating,No,Network error alarm,88,32,Medium,VoIP,Low,not required,Not Required,Last 7 Days,"Phoenix, AZ, 85001, Zone E, (33.4484,-112.0740)",Customer Premises,Signal Degradation,Splicer,Residential,2,85.08,1.58,2.06,1.01,Planned,18.1,51.62,76.82,31.28
2023-03-01 05:00:00,2023-03-01,05:00:00,74.59002974325087,28.498780179300493,0.2011790196101665,98.00720059676543,Underground,41.59,24,16,ST,Patch_B,-28.29,0.96,0.44,0.0001261704639791466,7.69,Gbps,4.54,No errors,4,46.73,2.5,7,No,No,None,Storm,Aerial,No,48.6,Unstable,-27.62,Error,No,Stable,No,No alarms,9,48,Medium,Enterprise,Medium,required,Required,Custom Date Range,"Los Angeles, CA, 90001, Zone B, (34.0522,-118.2437)",Aggregation,Equipment Failure,ONT/OLT Specialist,Government,10,135.71,9.69,1.76,2.17,Planned,76.75,68.66,37.59,9.45
2023-03-01 06:00:00,2023-03-01,06:00:00,74.12175582935251,27.275744573316597,0.7128188767438169,97.76496621090928,Single-mode,45.93,48,8,LC,Patch_B,-9.82,3.61,0.43,0.0001854126324153564,6.63,Gbps,8.44,No errors,6,7.59,7.24,9,No,Yes,Water,Rain,Underground,Yes,35.89,Stable,-7.2,Error,Yes,Unstable,Yes,High temperature alarm,72,40,High,IPTV,Medium,not required,Not Required,Last 24 Hours,"Phoenix, AZ, 85001, Zone E, (33.4484,-112.0740)",Aggregation,Signal Degradation,Network Engineer,Enterprise,6,112.22,2.37,2.69,4.24,Unplanned,96.72,16.81,1.88,58.48
2023-03-01 07:00:00,2023-03-01,07:00:00,77.28018146036729,24.462422379620154,0.5999693570123392,97.91111903472259,Multi-mode,32.52,12,0,LC,Patch_B,-14.09,3.56,0.32,0.0005120186146573425,4.51,Gbps,3.41,Error code 404,0,97.37,5.75,5,No,No,Other,Storm,Underground,No,41.72,Stable,-16.66,Rebooted,Yes,Fluctuating,No,High temperature alarm,78,15,Medium,Broadband,Low,not required,Not Required,Custom Date Range,"Phoenix, AZ, 85001, Zone E, (33.4484,-112.0740)",Customer Premises,Equipment Failure,ONT/OLT Specialist,Enterprise,6,39.53,3.65,3.75,8.42,Planned,36.08,27.36,0.61,99.37
2023-03-01 08:00:00,2023-03-01,08:00:00,78.81505091867311,22.615955887398346,0.6368796176517466,97.91397364828987,Single-mode,5.26,48,16,LC,Patch_A,-10.12,1.25,0.49,0.0009922419226192072,2.32,Mbps,730.56,Connection lost,2,118.12,1.09,7,Yes,No,Other,Rain,Inside Building,Yes,0.76,Unstable,-8.21,Timeout,No,Stable,Yes,Network error alarm,79,33,High,Broadband,Medium,not required,Not Required,Custom Date Range,"Chicago, IL, 60601, Zone C, (41.8781,-87.6298)",Access,Fiber Break,Network Engineer,Government,3,218.65,7.91,0.56,2.55,Planned,43.49,65.2,20.4,55.96
2023-03-01 09:00:00,2023-03-01,09:00:00,77.8761021468032,19.91258667616568,0.9453016081653218,97.72318576441054,Multi-mode,20.16,12,16,SC,Patch_B,-12.29,1.42,0.47,0.0006526137491339518,7.3,Gbps,5.7,Connection lost,5,99.06,1.78,8,Yes,No,Rodents,Temperature,Inside Building,No,17.79,Stable,-9.53,Rebooted,No,Unstable,Yes,High temperature alarm,62,42,Medium,Broadband,High,required,Required,Last 7 Days,"Phoenix, AZ, 85001, Zone E, (33.4484,-112.0740)",Customer Premises,Equipment Failure,Network Engineer,Residential,6,141.01,4.69,3.96,9.97,Unplanned,42.15,65.54,49.39,54.53
